h|1|19|146401642|gb|ABQ30169.1||h1|  AcidiphiliumcryptumJF-5 Bacteria||1|31||||||||||||
h|3|131|133909600|emb|CAL99712.1||h3|  AcidiphiliumcryptumJF-5 Bacteria||1|33||||||||||||
a|12|164|94551857|gb|ABF41781.1||a12|  AcidobacteriabacteriumEllin345 Bacteria||2|12||||||||||||
a|12|162|94969807|ref|YP_591855.1||a12|  AcidobacteriabacteriumEllin345 Bacteria||2|12||||||||||||
g|1|230|94969988|ref|YP_592036.1||g1|  AcidobacteriabacteriumEllin345 Bacteria||2|21||||||||||||
g|1|233|94552038|gb|ABF41962.1||g1|  AcidobacteriabacteriumEllin345 Bacteria||2|21||||||||||||
g|5|231|94967035|ref|YP_589083.1||g5|  AcidobacteriabacteriumEllin345 Bacteria||2|25||||||||||||
g|5|234|94549085|gb|ABF39009.1||g5|  AcidobacteriabacteriumEllin345 Bacteria||2|25||||||||||||
h|8|160|59480854|gb|AAW86641.1||h8|  AcidobacteriabacteriumEllin345 Bacteria||2|38||||||||||||
h|8|66|94969762|ref|YP_591810.1||h8|  AcidobacteriabacteriumEllin345 Bacteria||2|38||||||||||||
h|8|162|146302283|ref|YP_001196874.1||h8|  AcidobacteriabacteriumEllin345 Bacteria||2|38||||||||||||
h|8|65|94970520|ref|YP_592568.1||h8|  AcidobacteriabacteriumEllin345 Bacteria||2|38||||||||||||
h|8|74|94551812|gb|ABF41736.1||h8|  AcidobacteriabacteriumEllin345 Bacteria||2|38||||||||||||
h|8|73|94552570|gb|ABF42494.1||h8|  AcidobacteriabacteriumEllin345 Bacteria||2|38||||||||||||
h|9|158|58001464|gb|AAW60358.1||h9|  AcidobacteriabacteriumEllin345 Bacteria||2|39||||||||||||
h|9|163|146299798|ref|YP_001194389.1||h9|  AcidobacteriabacteriumEllin345 Bacteria||2|39||||||||||||
h|10|75|94551067|gb|ABF40991.1||h10|  AcidobacteriabacteriumEllin345 Bacteria||2|310||||||||||||
h|10|67|94969017|ref|YP_591065.1||h10|  AcidobacteriabacteriumEllin345 Bacteria||2|310||||||||||||
a|12|86|117927765|ref|YP_872316.1||a12|  Acidothermuscellulolyticus11B Bacteria||3|12||||||||||||
a|12|87|117648228|gb|ABK52330.1||a12|  Acidothermuscellulolyticus11B Bacteria||3|12||||||||||||
g|5|200|117648227|gb|ABK52329.1||g5|  Acidothermuscellulolyticus11B Bacteria||3|25||||||||||||
g|5|199|117927764|ref|YP_872315.1||g5|  Acidothermuscellulolyticus11B Bacteria||3|25||||||||||||
p|5|200|120588102|gb|ABM31542.1||p5|  Acidovoraxavenaesubsp.citrulliAAC00-1 Bacteria||4|45||||||||||||
p|5|195|120609638|ref|YP_969316.1||p5|  Acidovoraxavenaesubsp.citrulliAAC00-1 Bacteria||4|45||||||||||||
p|5|198|120605201|gb|ABM40941.1||p5|  Acidovoraxsp.JS42 Bacteria||5|45||||||||||||
p|5|191|121593121|ref|YP_985017.1||p5|  Acidovoraxsp.JS42 Bacteria||5|45||||||||||||
u|2|138|120605142|gb|ABM40882.1||u2|  Acidovoraxsp.JS42 Bacteria||5|52||||||||||||
u|2|133|121593062|ref|YP_984958.1||u2|  Acidovoraxsp.JS42 Bacteria||5|52||||||||||||
g|1|118|73919638|sp|Q6F6U8|GLMS_ACIAD|g1|  Acinetobactersp.ADP1 Bacteria||6|21||||||||||||
p|5|409|3122135|sp|Q59088|G6PI_ACIAD|p5|  Acinetobactersp.ADP1 Bacteria||6|45||||||||||||
u|2|225|81612972|sp|Q6F6U9|GLMU_ACIAD|u2|  Acinetobactersp.ADP1 Bacteria||6|52||||||||||||
a|7|129|126098012|gb|ABN74840.1||a7|  ActinobacilluspleuropneumoniaeL20 Bacteria||7|7||||||||||||
a|7|128|126209220|ref|YP_001054445.1||a7|  ActinobacilluspleuropneumoniaeL20 Bacteria||7|7||||||||||||
g|1|252|126209095|ref|YP_001054320.1||g1|  ActinobacilluspleuropneumoniaeL20 Bacteria||7|21||||||||||||
g|1|251|133915820|emb|CAM05933.1||g1|  ActinobacilluspleuropneumoniaeL20 Bacteria||7|21||||||||||||
p|5|435|126208607|ref|YP_001053832.1||p5|  ActinobacilluspleuropneumoniaeL20 Bacteria||7|45||||||||||||
p|5|436|126097399|gb|ABN74227.1||p5|  ActinobacilluspleuropneumoniaeL20 Bacteria||7|45||||||||||||
u|2|263|126208070|ref|YP_001053295.1||u2|  ActinobacilluspleuropneumoniaeL20 Bacteria||7|52||||||||||||
u|2|264|126096862|gb|ABN73690.1||u2|  ActinobacilluspleuropneumoniaeL20 Bacteria||7|52||||||||||||
g|1|7|8134478|sp|Q9YCQ6|GLMS_AERPE|g1|  Aeropyrumpernix Archaea||8|21||||||||||||
g|1|2|7434164|pir||A72592|g1|  Aeropyrumpernix Archaea||8|21||||||||||||
p|6|3|74578267|sp|Q9YE01|PGMI_AERPE|p6|  Aeropyrumpernix Archaea||8|46||||||||||||
